שם,טלפון,מייל,אתר,עיר,תאריך,שליחת מייל
אחזקת מבנים בגובה העיניים. חברת ניהול ואחזקה מקצועית | אי.טי,251222,info@eiti.co.il,https://eiti.co.il/,רמת גן,14/06/2026,14.06.2026
א.א ניהול ואחזקות מבנים,19071700,itaiaa@hotmail.com‬,http://www.aabm.co.il/,,14/06/2026,14.06.2026
ניהול מבנים ואחזקה | סננס ניהול ואחזקת מבנים,251216,sananesgroup@gmail.com,https://sananesgroup.co.il/,,14/06/2026,14.06.2026
"""השירות שלנו - השקט שלכם"" - ניהול ואחזקת בנייני מגורים וב...",505898837,emg.towers@gmail.com,https://www.emg-towers.co.il/,נתניה,14/06/2026,14.06.2026
"קומפלט | ניהול ואחזקות מבנים, ניהול נכסים באזור המרכז והשרון",546553594,completnihul@gmail.com,https://completnihul.co.il/,נתניה,14/06/2026,14.06.2026
חברת ניהול מגדלים אשדוד,54987858,support@zaltsman.co.il,https://www.zaltsman.co.il/ashdod,אשדוד,14/06/2026,14.06.2026
חברת ניהול נכסים באשדוד - Lankri Group,210511,office@lankri-group1.co.il,https://lankri-group.co.il/%D7%A0%D7%99%D7%94%D7%95%D7%9C-%D7%A0%D7%9B%D7%A1%D7%99%D7%9D-%D7%91%D7%90%D7%A9%D7%93%D7%95%D7%93/,אשדוד,14/06/2026,מייל לא נכון
"קבוצת המיגדל אחזקות, שד' ירושלים 18, אשדוד",545356103,hamigdal.ashdod@gmail.com,https://www.d.co.il/80179177/2295/,ירושלים,14/06/2026,מייל לא נכון
קלינטון ניהול ואחזקות: חברת ניהול ואחזקה - מומחים בניהול,930193595,cleantonn@gmail.com,https://cleanton-management.co.il/,פתח תקווה,14/06/2026,14.06.2026
ניהול ואחזקת מבנים בפתח תקווה - GM-HOLDINGS מומחים באחזקת ...,230416,office@gmholdings.co.il,https://www.gm-holdings.co.il/management-and-maintenance-of-buildings-in-petah-tikva/,פתח תקווה,14/06/2026,מייל לא נכון
ניהול פור יו - חברת ניהול מבנים שאפשר לסמוך עליה,240905,Nihul4uel@gmail.com,https://www.nihul4you.co.il/,פתח תקווה,14/06/2026,14.06.2026
חברת ניהול ועד בית בפתח תקווה,33036218,office@reut-ahzakot.co.il,https://www.reut-ahzakot.co.il/%D7%A0%D7%99%D7%94%D7%95%D7%9C-%D7%95%D7%A2%D7%93-%D7%91%D7%99%D7%AA-%D7%91%D7%A4%D7%AA%D7%97-%D7%AA%D7%A7%D7%95%D7%95%D7%94,פתח תקווה,14/06/2026,14.06.2026
ניהול נכסים ברמת גן | חברת ניהול ואחזקה ברמת גן,773010886,danya077@gmail.com,https://www.danya-hachzakot.co.il/%D7%A0%D7%99%D7%94%D7%95%D7%9C-%D7%A0%D7%9B%D7%A1%D7%99%D7%9D-%D7%91%D7%A8%D7%9E%D7%AA-%D7%92%D7%9F,רמת גן,14/06/2026,14.06.2026
Easy House | חברת ניהול ועד בית | ניהול ואחזקת מבנים,140611,office@easyhouse.co.il,https://www.easyhouse.co.il/,רמת גן,14/06/2026,14.06.2026
"א. סטפנסקי בע""מ: ניהול ואחזקת מבנים, גינון, הדברה וגבייה",77431638,homestaffs@gmail.com,https://astf.co.il/,רמת גן,14/06/2026,14.06.2026
אפטאון ניהול ואחזקה - אחזקת מבנים בחולון - חברת ניהול ואחזקת מבנים,738022050,uptownbatim@gmail.com,https://uptown-batim.co.il/%D7%90%D7%97%D7%96%D7%A7%D7%AA-%D7%9E%D7%91%D7%A0%D7%99%D7%9D-%D7%91%D7%97%D7%95%D7%9C%D7%95%D7%9F/,חולון,14/06/2026,14.06.2026
חברת ניהול בניינים בחולון — SQUARE | ניהול ואחזקת מבנים,260604,office@square-management.co.il,https://square-management.co.il/%D7%A0%D7%99%D7%94%D7%95%D7%9C-%D7%95%D7%90%D7%97%D7%96%D7%A7%D7%AA-%D7%9E%D7%91%D7%A0%D7%99%D7%9D-%D7%91%D7%97%D7%95%D7%9C%D7%95%D7%9F/,חולון,14/06/2026,14.06.2026
